#,Card Number,Title,Sold Price,Sold Date,URL
1,#CPA-JBR,2025 Bowman Chrome Jacob Bresnahan Auto 1st Prospect #CPA-JBR Giants,$13.99,"Feb 28, 2026",https://www.ebay.com/itm/227234225948?_skw=2025+bowman+%23CPA-&epid=16079895440&itmmeta=01KJKYN48NHTW9N59F4RTV536T&hash=item34e8371f1c:g:oxEAAeSwgHVpoRm8&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAVqsIxWQktrOyMmnFWk3w9lmDfLnJY5tB%2FUg1%2FFLmCpXSyeSQzuO3msosCzFoD82%2F0DO3WeDc5RCtKP6NgVVCgS%2B0fStk014fIGiQYtKUrEMt70z6TfXePfFs9RcqHYoEE70MByJJH7z%2Bu4HBYnFg2Z6wmpz6Aa8cUbPDZlaLUlR4rarSarI0gmbAT6C76LqLaslUA0t9QoRW%2BGLsjGgFS4xKcsQTWjya835u6NPh6UJW9pK6fS5Mn627N9prHW2o%3D%7Ctkp%3ABk9SR_rE1P6UZw
2,#CPA-CLE,2025 Topps Bowman Chrome #CPA-CLE Cory Lewis 1st Auto Minnesota Twins QI95,$4.26,"Feb 28, 2026",https://www.ebay.com/itm/406717978764?_skw=2025+bowman+%23CPA-&epid=11079889402&itmmeta=01KJKYN48NEHBZCT66Q2X6402Q&hash=item5eb247d88c:g:rJwAAeSwjrhpfrtb&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC87Uj8C0A5z9axbNgXy7HPUghAnVHv%2F3I7rwaMsPEsjRj8av6zwqhsKRixb93WeGhFg86gSTj5g2vN2K46sU9NpbGUq%2Bp9rT%2BFBusI20o1AwQXa7O1sLZ4yKOp5VgaL%2Fyq1fLLnIVgmH4iHS1QUQ1QhMScT1kuGaGWPz7IXVmML0z0TpThgeuHyOnBzP%2F0WhVo1fC%2FUTrublYuXeRFFT0Km1kWFuSeJFmkOvvsDbJc%2Bainj4F9AWesFvorrG5CdQE%3D%7Ctkp%3ABk9SR_rE1P6UZw
3,#CPA-MWI,2025 Topps Bowman Chrome #CPA-MWI Max Williams 1st Auto Marlins QI95,$6.50,"Feb 28, 2026",https://www.ebay.com/itm/406717965419?_skw=2025+bowman+%23CPA-&epid=25090533464&itmmeta=01KJKYN48NW7RYEYAHZH99KHCF&hash=item5eb247a46b:g:B7QAAeSwDkJpfsG8&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCZL3G6Kn6Ck7Ev%2BpujouLHHvCKRu0BQ%2Ba4fXK9nDlQeS71M1aVVBgx4rFVE72xg%2BOfbP1XZQkulSLc5pC%2FWdXl5oBIeENd9w6GKTvGRvneuAphGkZn79L5UXw4GggLDYetDq9gAqxp5xPP1fS24sHIRFvzExd5rzYWYJqhpZ59wcijChLj%2BZNeo0lUwBn12%2BCH9ZP7XeWs9mMN%2FV%2FifRwBOG1CPBkFfxom2Htb6YuaBF5MNwWSK6Jk8GQSg8EHdoE%3D%7Ctkp%3ABk9SR_rE1P6UZw
4,#CPA-HS,"2025 Bowman Chrome - Prospect Autographs Hagen Smith, Hagen Smith #CPA-HS...",$11.50,"Feb 28, 2026",https://www.ebay.com/itm/206093774414?_skw=2025+bowman+%23CPA-&epid=23086314270&itmmeta=01KJKYN48NQE3DB5PYF3Z7NJTK&hash=item2ffc256e4e:g:8wAAAeSwPQxpn0b5&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDqFqvZHVmXQjuK2VuP%2FRhBYWRsQD77eVjWD57YlaWeYVm0vuJbxQoqytIBio9MqSOaeczFOaBbT4S7QBmx1EfeIjTrDu%2B6Yf2FG2WAIeQWoqKu8gqus5GOCGdEVt99WLWATZYQMtooAFFfaKHcIFHUfwouL6eSxof1ta6B2p450HXKWxV7I7WfE%2Fi6yu29FXam%2BZqtpBuupJbKpgBZe9SsGomfL4nSBKUw4RjtQR45VtZet0%2BN3%2F7mr9kil0F%2Be1%2FqHCHPCfcwmhW2WxOTiTUbXQjJeh000C%2BXqWnLC%2FAnng%3D%3D%7Ctkp%3ABk9SR_zE1P6UZw
5,#CPA-BD,Bo Davidson 2025 Bowman Chrome 1st Auto RC #CPA-BD - San Francisco Giants,$60.00,"Feb 28, 2026",https://www.ebay.com/itm/206101691075?_skw=2025+bowman+%23CPA-&epid=19086318436&itmmeta=01KJKYN48N2FS4KJ28Y111SHHV&hash=item2ffc9e3ac3:g:JtsAAeSw2jxpo1yw&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDAawxyFZC9FmKYaY1bDKJ9p%2FV3czN%2BQ5P6J5r6LSndG44yDqJn1gnwJ3I57LENQFQSEmRtUL1QoNMp9ozUR6A0RFnZJYn98LQotPR7ETKjS923ppu9FoYnSeC3A8%2FL5ZeJf9wAgtYix%2BvoR7V4JlkNdEQ9s%2BwQYKXqdy7BKhf2lB%2BrExHoWlxbJdp%2FSWc29%2FgXn%2Fdae7WqHDnTQG5QhEeHUj2ryJOeV%2Fgn9JJ79qBQQiPJbItc7uX2OEemp%2B0On5U%3D%7Ctkp%3ABk9SR_zE1P6UZw
6,#CPA-TWH,"2025 Bowman Chrome - Prospect Autographs Tommy White, Tommy White #CPA-TWH (AU,",$19.95,"Feb 28, 2026",https://www.ebay.com/itm/389654269144?_skw=2025+bowman+%23CPA-&epid=15086315834&itmmeta=01KJKYN48PW3324CJ7M2H3VJ0N&hash=item5ab9344cd8:g:rNEAAeSwMDtpmoSh&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD8iHk2CIpDXkzIgZw%2B7ECj6LzPc5NFW6fXEsB8WIDc4SquQq%2FxHZHGoQrWgPHzQR6WvPoA3JQMfejLN35OSz2ttf28SwDeAx7NJ6EtwgALbvXL9DzSWY5X%2BWNd%2F1S%2FP5b4Qy4hKSO--S%2B12dGNJYjctqfxbw%2FavgPrjDPNQerX5CMri6d3XmWDRqQqIyewyCdnR%2BALjGUuQJScomPPT%2B%2BHu55YFcM4Q61S42f4%2FlHHIHUd%2FwJrMle2LZBvRWJf%2FS8H83tlW0WwQtCf1jn9mo2IClgTv7rsd2pDw873a97USA%3D%3D%7Ctkp%3ABk9SR_7E1P6UZw
7,#CPA-AES,2025 Bowman Chrome Prospect Auto Aron Estrada #CPA-AES Auto 01ck,$28.99,"Feb 28, 2026",https://www.ebay.com/itm/336454046023?_skw=2025+bowman+%23CPA-&epid=24079907374&itmmeta=01KJKYN48P3P0QE5SXSJWK1Y0G&hash=item4e56395147:g:-3UAAeSwGdlpoN2g&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBVkX1Bvo2nKSg6kb6yC6MRERtHcnIZ18aIg0%2Fx2ewD6zKo3xU7r%2BkA6gTOKKHGONqwX92U%2ByOTs%2FRAJ%2FMnRNARTvw2mGdSNPJjYvQ8GgvqlKru2%2BPE%2FK6JkF%2FUKDI6S3SluOld822HEjCLmL0hTYF6fgmTRr1%2Br8lNdB7EVylzmDHSk9nIqrchL1so67TGpN4U9fLoliAg50VNT2T6RpZD%2FyPh3AfloA22NZGfr%2BwnVfYDKmfEwcRgqaB%2BVo4stNU%3D%7Ctkp%3ABk9SR_7E1P6UZw
8,#CPA-JC,2025 Bowman Chrome Prospect Juan Cabada Auto #CPA-JC GS1-2,$14.50,"Feb 28, 2026",https://www.ebay.com/itm/177872303540?_skw=2025+bowman+%23CPA-&epid=23086318887&itmmeta=01KJKYN48P9ME74FNGVACTE6G1&hash=item296a03f5b4:g:nloAAeSwDeJpeVCE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAdGllqHAWbACDRobJuQ2%2FKR5FLn4yzfhOGzy9uAJr2%2FMEiLcWejtrafwxWRe1YRkOQjYMnjfzfV9AEcE9ZpaXWnib%2FuBDXSAK9hqIEcEvXvau9PrNZ9ji0x6YPZ%2BScNtdeFZD9nKdAPje7ln6q52elbj4eM9KSi0KloBDODeqojNSjeiRzVLes%2B9uhoLpxEJe%2BFQ7TsPr65ca8LlJxrW9%2F5LN5uhzpE1PIDoWmzQggqN2d7y5sSZkFIw520LoX2FpJE6reSWscyFl0z%2F173YqA3zqUJylZFwkgcqDJ5WhONQ%3D%3D%7Ctkp%3ABk9SR_7E1P6UZw
9,#CPA-CR,2025 Bowman Chrome Prospect Cris Rodriguez Auto #CPA-CR GS1-1,$49.50,"Feb 28, 2026",https://www.ebay.com/itm/177872303573?_skw=2025+bowman+%23CPA-&epid=27086325534&itmmeta=01KJKYN48PBRJM3GBH1H9H1TDF&hash=item296a03f5d5:g:qBkAAeSwgTFpeVBK&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDs2o1bVkIOEPekGW3VOo9o7WGrxd1DuIpdtCPX4IzbB3vIzNI6nDQvyY8M8xMePTDRyaLkyCBVlB8sWMVVPih3FxgILWYOTHoo5PqU8O0Hz4svFmBvzdhylorydxGtV8kZ6D5q9K%2FhnSE3%2BEqBR3ZcqGfs95pcOgUvf0u1CjGVCDAleJsGa5crENpFxX7HPYLHM6kgPSHlQ36Br4AwLwliMAVgkNRTVjJiA2RVWRMxkQb3NN9eUR1yuV9z%2B4RYcgQ%3D%7Ctkp%3ABk9SR_7E1P6UZw
10,#CPA-AS,"2025 Bowman Chrome - Prospect Autographs Andrew Salas, Andrew Salas #CPA-AS (AU,",$15.00,"Feb 28, 2026",https://www.ebay.com/itm/389654220649?_skw=2025+bowman+%23CPA-&epid=22086328225&itmmeta=01KJKYN48P4B0T72T1T1FM0NXG&hash=item5ab9338f69:g:kjwAAeSw8KppmoAq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC%2Fz8WTJhPBTX6ppHCP8TGsoe7dMUa7evDDUqtAVBO3ght7fddjN17NEcwG02WwecTwOYPWcJAOGlN%2BGVYDxi4FOmCUWFnQmLESn%2BBQ%2FlarvBNx6PreSXnmUmy%2BOpVb212w3YWJ6J8NzJoG1ja8qKwkQ52FWNVNXeQzmqag11JjVn%2FFmuDKDvtcN1ry%2BN4MDODb%2BAI8ZLRjNQxHMYudSUPGYKmWOkdG5F7jHIFXMmzUljs0ByAVfLxLMDlJ%2FSCerp0%3D%7Ctkp%3ABk9SR_7E1P6UZw
